"Alt" "Sex" "Age" "Method" "OT" "ANT" "Offset" "Hunter" "Month" "MonthCalendar" "Year"
"341" "4" "M" "A" "Escopeta" 0 2 1 "HUNT13" 26 2 2013
"342" "4" "F" "Y" "Escopeta" 0 3 1 "HUNT13" 26 2 2013
"343" "4" "M" "Y" "Escopeta" 0 0 1 "HUNT13" 26 2 2013
"344" "4" "F" "A" "Escopeta" 0 4 1 "HUNT13" 27 3 2013
"345" "4" "M" "A" "Escopeta" 0 0 1 "HUNT13" 27 3 2013
"346" "4" "F" "Y" "Escopeta" 0 1 1 "HUNT13" 27 3 2013
"347" "4" "M" "Y" "Escopeta" 0 2 1 "HUNT13" 27 3 2013
"348" "4" "M" "A" "Escopeta" 0 1 1 "HUNT13" 29 5 2013
"349" "4" "F" "A" "Escopeta" 0 4 1 "HUNT13" 29 5 2013
"350" "4" "M" "A" "Escopeta" 1 2 1 "HUNT13" 30 6 2013
"351" "4" "F" "A" "Escopeta" 1 1 1 "HUNT13" 30 6 2013
"352" "4" "F" "A" "Escopeta" 1 0 1 "HUNT13" 31 7 2013
"353" "4" "F" "A" "Escopeta" 0 14 2 "HUNT13" 32 8 2013
"354" "4" "M" "A" "Escopeta" 0 2 2 "HUNT13" 32 8 2013
"355" "4" "F" "Y" "Escopeta" 0 2 2 "HUNT13" 32 8 2013
"356" "4" "M" "Y" "Escopeta" 0 3 2 "HUNT13" 32 8 2013
"357" "7" "F" "A" "Trampa" 0 1 1 "HUNT14" 1 8 2010
"358" "6" "F" "A" "Trampa" 0 2 1 "HUNT14" 1 8 2010
"359" "7" "M" "A" "Trampa" 0 0 1 "HUNT14" 1 8 2010
"360" "6" "M" "A" "Trampa" 0 2 1 "HUNT14" 1 8 2010
"361" "7" "F" "A" "Escopeta" 0 0 1 "HUNT14" 1 8 2010
"362" "6" "F" "A" "Escopeta" 1 0 1 "HUNT14" 1 8 2010
"363" "7" "M" "A" "Escopeta" 0 0 1 "HUNT14" 1 8 2010
"364" "6" "M" "A" "Escopeta" 0 0 1 "HUNT14" 1 8 2010
"365" "7" "F" "A" "Trampa" 2 0 1 "HUNT14" 3 10 2010
"366" "7" "F" "A" "Trampa" 0 7 1 "HUNT14" 4 11 2010
"367" "7" "M" "A" "Trampa" 0 3 1 "HUNT14" 4 11 2010
"368" "7" "F" "Y" "Trampa" 0 0 1 "HUNT14" 4 11 2010
"369" "7" "M" "Y" "Trampa" 0 1 1 "HUNT14" 4 11 2010
"370" "4" "F" "A" "Trampa" 0 11 2 "HUNT15" 6 1 2011
"371" "4" "M" "A" "Trampa" 1 9 2 "HUNT15" 6 1 2011
"372" "4" "F" "Y" "Trampa" 0 1 2 "HUNT15" 6 1 2011
"373" "4" "M" "Y" "Trampa" 0 1 2 "HUNT15" 6 1 2011
"374" "4" "F" "A" "Trampa" 0 10 2 "HUNT15" 7 4 2011
"375" "4" "M" "A" "Trampa" 0 5 2 "HUNT15" 7 4 2011
"376" "4" "F" "Y" "Trampa" 0 2 2 "HUNT15" 8 5 2011
"377" "4" "M" "Y" "Trampa" 1 2 2 "HUNT15" 8 5 2011
"378" "4" "F" "A" "Trampa" 0 13 2 "HUNT15" 8 5 2011
"379" "4" "M" "A" "Trampa" 1 3 2 "HUNT15" 8 5 2011
"380" "4" "F" "A" "Trampa" 0 8 1 "HUNT15" 9 6 2011
"381" "4" "M" "A" "Trampa" 0 6 1 "HUNT15" 9 6 2011
"382" "4" "F" "A" "Trampa" 1 15 3 "HUNT15" 10 7 2011
"383" "4" "M" "A" "Trampa" 1 7 3 "HUNT15" 10 7 2011
"384" "4" "F" "Y" "Trampa" 0 1 3 "HUNT15" 10 7 2011
"385" "4" "M" "Y" "Trampa" 1 1 3 "HUNT15" 10 7 2011
"386" "4" "F" "A" "Trampa" 1 13 2 "HUNT15" 11 8 2011
"387" "4" "M" "A" "Trampa" 2 6 2 "HUNT15" 11 8 2011
"388" "4" "F" "A" "Trampa" 1 20 2 "HUNT15" 12 9 2011
"389" "4" "M" "A" "Trampa" 3 3 2 "HUNT15" 12 9 2011
"390" "4" "F" "A" "Trampa" 2 4 1 "HUNT15" 14 11 2011
"391" "4" "M" "A" "Trampa" 0 3 1 "HUNT15" 14 11 2011
"392" "4" "F" "A" "Trampa" 2 10 2 "HUNT15" 15 12 2011
"393" "4" "M" "A" "Trampa" 0 8 2 "HUNT15" 15 12 2011
"394" "4" "F" "A" "Trampa" 0 14 2 "HUNT15" 17 3 2012
"395" "4" "M" "A" "Trampa" 0 4 2 "HUNT15" 17 3 2012
"396" "4" "F" "Y" "Trampa" 0 2 2 "HUNT15" 17 3 2012
"397" "4" "M" "Y" "Trampa" 0 1 2 "HUNT15" 17 3 2012
"398" "2" "M" "A" "Trampa" 0 4 6 "HUNT16" 1 8 2010
"399" "4" "M" "A" "Trampa" 1 7 6 "HUNT16" 1 8 2010
"400" "2" "F" "A" "Trampa" 0 5 6 "HUNT16" 1 8 2010
"401" "4" "F" "A" "Trampa" 0 15 6 "HUNT16" 1 8 2010
"402" "2" "M" "A" "Escopeta" 0 0 6 "HUNT16" 1 8 2010
"403" "4" "M" "A" "Escopeta" 1 0 6 "HUNT16" 1 8 2010
"404" "2" "F" "A" "Escopeta" 0 0 6 "HUNT16" 1 8 2010
"405" "4" "F" "A" "Escopeta" 0 0 6 "HUNT16" 1 8 2010
"406" "4" "F" "A" "Trampa" 1 42 8 "HUNT16" 2 9 2010
"407" "4" "M" "A" "Trampa" 0 21 8 "HUNT16" 2 9 2010
"408" "4" "F" "Y" "Trampa" 1 1 8 "HUNT16" 2 9 2010
"409" "4" "M" "Y" "Trampa" 0 0 8 "HUNT16" 2 9 2010
"410" "4" "F" "A" "Trampa" 0 21 9 "HUNT16" 3 10 2010
"411" "3" "F" "A" "Trampa" 0 0 9 "HUNT16" 3 10 2010
"412" "2" "F" "A" "Trampa" 0 2 9 "HUNT16" 3 10 2010
"413" "4" "M" "A" "Trampa" 0 21 9 "HUNT16" 3 10 2010
"414" "3" "M" "A" "Trampa" 0 0 9 "HUNT16" 3 10 2010
"415" "2" "M" "A" "Trampa" 0 0 9 "HUNT16" 3 10 2010
"416" "4" "F" "Y" "Trampa" 0 1 9 "HUNT16" 3 10 2010
"417" "3" "F" "Y" "Trampa" 0 0 9 "HUNT16" 3 10 2010
"418" "2" "F" "Y" "Trampa" 0 4 9 "HUNT16" 3 10 2010
"419" "4" "M" "Y" "Trampa" 0 0 9 "HUNT16" 3 10 2010
"420" "3" "M" "Y" "Trampa" 0 0 9 "HUNT16" 3 10 2010
"421" "2" "M" "Y" "Trampa" 0 1 9 "HUNT16" 3 10 2010
"422" "4" "F" "A" "Escopeta" 0 4 9 "HUNT16" 3 10 2010
"423" "3" "F" "A" "Escopeta" 0 2 9 "HUNT16" 3 10 2010
"424" "2" "F" "A" "Escopeta" 0 0 9 "HUNT16" 3 10 2010
"425" "4" "M" "A" "Escopeta" 0 2 9 "HUNT16" 3 10 2010
"426" "3" "M" "A" "Escopeta" 0 1 9 "HUNT16" 3 10 2010
"427" "2" "M" "A" "Escopeta" 0 0 9 "HUNT16" 3 10 2010
"428" "4" "F" "Y" "Escopeta" 0 0 9 "HUNT16" 3 10 2010
"429" "3" "F" "Y" "Escopeta" 0 0 9 "HUNT16" 3 10 2010
"430" "2" "F" "Y" "Escopeta" 0 0 9 "HUNT16" 3 10 2010
"431" "4" "M" "Y" "Escopeta" 1 1 9 "HUNT16" 3 10 2010
"432" "3" "M" "Y" "Escopeta" 0 1 9 "HUNT16" 3 10 2010
"433" "2" "M" "Y" "Escopeta" 0 0 9 "HUNT16" 3 10 2010
"434" "4" "F" "A" "Trampa" 0 36 5 "HUNT16" 4 11 2010
"435" "4" "M" "A" "Trampa" 0 17 5 "HUNT16" 4 11 2010
"436" "4" "F" "Y" "Trampa" 0 3 5 "HUNT16" 4 11 2010
"437" "4" "M" "Y" "Trampa" 0 2 5 "HUNT16" 4 11 2010
"438" "4" "F" "A" "Escopeta" 0 9 3 "HUNT16" 5 12 2010
"439" "3" "F" "A" "Escopeta" 0 7 3 "HUNT16" 5 12 2010
"440" "4" "M" "A" "Escopeta" 0 9 3 "HUNT16" 5 12 2010
"441" "3" "M" "A" "Escopeta" 0 3 3 "HUNT16" 5 12 2010
"442" "4" "F" "Y" "Escopeta" 0 1 3 "HUNT16" 5 12 2010
"443" "3" "F" "Y" "Escopeta" 0 0 3 "HUNT16" 5 12 2010
"444" "4" "M" "Y" "Escopeta" 0 0 3 "HUNT16" 5 12 2010
"445" "3" "M" "Y" "Escopeta" 0 0 3 "HUNT16" 5 12 2010
"446" "3" "F" "A" "Escopeta" 0 12 3 "HUNT16" 6 1 2011
"447" "3" "M" "A" "Escopeta" 0 9 3 "HUNT16" 6 1 2011
"448" "3" "F" "A" "Escopeta" 0 11 3 "HUNT16" 7 4 2011
"449" "3" "M" "A" "Escopeta" 0 8 3 "HUNT16" 7 4 2011
"450" "3" "F" "Y" "Escopeta" 1 0 3 "HUNT16" 7 4 2011
"451" "3" "M" "Y" "Escopeta" 0 0 3 "HUNT16" 7 4 2011
"452" "3" "F" "A" "Escopeta" 0 13 3 "HUNT16" 8 5 2011
"453" "3" "M" "A" "Escopeta" 0 7 3 "HUNT16" 8 5 2011
"454" "3" "F" "A" "Escopeta" 2 8 3 "HUNT16" 9 6 2011
"455" "6" "F" "A" "Escopeta" 2 2 3 "HUNT16" 9 6 2011
"456" "5" "F" "A" "Escopeta" 0 2 3 "HUNT16" 9 6 2011
"457" "3" "M" "A" "Escopeta" 0 7 3 "HUNT16" 9 6 2011
"458" "6" "M" "A" "Escopeta" 0 0 3 "HUNT16" 9 6 2011
"459" "5" "M" "A" "Escopeta" 0 2 3 "HUNT16" 9 6 2011
"460" "3" "F" "A" "Escopeta" 2 14 3 "HUNT16" 10 7 2011
"461" "3" "M" "A" "Escopeta" 2 7 3 "HUNT16" 10 7 2011
"462" "3" "F" "A" "Trampa" 0 5 3 "HUNT16" 10 7 2011
"463" "3" "M" "A" "Trampa" 0 2 3 "HUNT16" 10 7 2011
"464" "3" "F" "A" "Trampa" 0 19 4 "HUNT16" 11 8 2011
"465" "3" "M" "A" "Trampa" 0 12 4 "HUNT16" 11 8 2011
"466" "3" "F" "Y" "Trampa" 0 2 4 "HUNT16" 11 8 2011
"467" "3" "M" "Y" "Trampa" 0 0 4 "HUNT16" 11 8 2011
"468" "3" "F" "A" "Escopeta" 1 4 4 "HUNT16" 11 8 2011
"469" "3" "M" "A" "Escopeta" 0 2 4 "HUNT16" 11 8 2011
"470" "3" "F" "Y" "Escopeta" 0 0 4 "HUNT16" 11 8 2011
"471" "3" "M" "Y" "Escopeta" 0 0 4 "HUNT16" 11 8 2011
"472" "3" "F" "A" "Trampa" 0 16 3 "HUNT16" 12 9 2011
"473" "3" "M" "A" "Trampa" 0 0 3 "HUNT16" 12 9 2011
"474" "3" "F" "A" "Escopeta" 1 11 3 "HUNT16" 12 9 2011
"475" "3" "M" "A" "Escopeta" 1 8 3 "HUNT16" 12 9 2011
"476" "3" "F" "A" "Trampa" 0 6 4 "HUNT16" 13 10 2011
"477" "3" "M" "A" "Trampa" 0 6 4 "HUNT16" 13 10 2011
"478" "3" "F" "Y" "Trampa" 1 1 4 "HUNT16" 13 10 2011
"479" "3" "M" "Y" "Trampa" 0 1 4 "HUNT16" 13 10 2011
"480" "3" "F" "A" "Escopeta" 0 10 4 "HUNT16" 13 10 2011
"481" "3" "M" "A" "Escopeta" 1 7 4 "HUNT16" 13 10 2011
"482" "3" "F" "Y" "Escopeta" 0 1 4 "HUNT16" 13 10 2011
"483" "3" "M" "Y" "Escopeta" 0 1 4 "HUNT16" 13 10 2011
"484" "3" "F" "A" "Escopeta" 0 10 2 "HUNT16" 14 11 2011
"485" "3" "M" "A" "Escopeta" 2 5 2 "HUNT16" 14 11 2011
"486" "3" "F" "Y" "Escopeta" 0 1 2 "HUNT16" 14 11 2011
"487" "3" "M" "Y" "Escopeta" 0 0 2 "HUNT16" 14 11 2011
"488" "3" "F" "A" "Escopeta" 0 9 2 "HUNT16" 15 12 2011
"489" "3" "M" "A" "Escopeta" 2 4 2 "HUNT16" 15 12 2011
"490" "3" "F" "A" "Trampa" 0 3 1 "HUNT16" 16 1 2012
"491" "3" "M" "A" "Trampa" 0 5 1 "HUNT16" 16 1 2012
"492" "3" "F" "Y" "Trampa" 0 1 1 "HUNT16" 16 1 2012
"493" "3" "M" "Y" "Trampa" 0 0 1 "HUNT16" 16 1 2012
"494" "3" "F" "A" "Trampa" 0 7 2 "HUNT16" 17 3 2012
"495" "3" "M" "A" "Trampa" 0 2 2 "HUNT16" 17 3 2012
"496" "3" "F" "A" "Escopeta" 0 7 2 "HUNT16" 17 3 2012
"497" "3" "M" "A" "Escopeta" 0 2 2 "HUNT16" 17 3 2012
"498" "3" "F" "A" "Escopeta" 0 8 2 "HUNT16" 18 4 2012
"499" "3" "M" "A" "Escopeta" 2 5 2 "HUNT16" 18 4 2012
"500" "3" "F" "Y" "Escopeta" 0 0 2 "HUNT16" 18 4 2012
"501" "3" "M" "Y" "Escopeta" 0 1 2 "HUNT16" 18 4 2012
"502" "3" "F" "A" "Escopeta" 0 5 1 "HUNT16" 19 5 2012
"503" "3" "M" "A" "Escopeta" 0 2 1 "HUNT16" 19 5 2012
"504" "3" "F" "A" "Trampa" 0 19 4 "HUNT16" 20 6 2012
"505" "3" "M" "A" "Trampa" 2 10 4 "HUNT16" 20 6 2012
"506" "3" "F" "Y" "Trampa" 0 2 4 "HUNT16" 20 6 2012
"507" "3" "M" "Y" "Trampa" 0 0 4 "HUNT16" 20 6 2012
"508" "3" "F" "A" "Trampa" 0 11 2 "HUNT16" 21 7 2012
"509" "3" "M" "A" "Trampa" 0 7 2 "HUNT16" 21 7 2012
"510" "3" "F" "A" "Trampa" 0 4 1 "HUNT16" 22 8 2012
"511" "3" "M" "A" "Trampa" 0 4 1 "HUNT16" 22 8 2012
"512" "3" "F" "Y" "Trampa" 0 2 1 "HUNT16" 22 8 2012
"513" "3" "M" "Y" "Trampa" 0 0 1 "HUNT16" 22 8 2012
"514" "3" "F" "A" "Escopeta" 0 8 1 "HUNT16" 23 10 2012
"515" "3" "M" "A" "Escopeta" 0 1 1 "HUNT16" 23 10 2012
"516" "3" "F" "A" "Escopeta" 0 8 1 "HUNT16" 24 11 2012
"517" "3" "M" "A" "Escopeta" 0 2 1 "HUNT16" 24 11 2012
"518" "3" "F" "A" "Trampa" 0 2 4 "HUNT16" 26 2 2013
"519" "3" "M" "A" "Trampa" 0 0 4 "HUNT16" 26 2 2013
"520" "3" "F" "A" "Escopeta" 0 10 4 "HUNT16" 26 2 2013
"521" "3" "M" "A" "Escopeta" 0 2 4 "HUNT16" 26 2 2013
"522" "3" "F" "A" "Escopeta" 0 8 2 "HUNT16" 27 3 2013
"523" "3" "M" "A" "Escopeta" 0 6 2 "HUNT16" 27 3 2013
"524" "3" "F" "A" "Trampa" 0 3 2 "HUNT16" 27 3 2013
"525" "3" "M" "A" "Trampa" 0 1 2 "HUNT16" 27 3 2013
"526" "4" "F" "A" "Escopeta" 3 3 6 "HUNT16" 31 7 2013
"527" "2" "F" "A" "Escopeta" 0 0 6 "HUNT16" 31 7 2013
"528" "3" "F" "A" "Escopeta" 0 0 6 "HUNT16" 31 7 2013
"529" "4" "M" "A" "Escopeta" 1 3 6 "HUNT16" 31 7 2013
"530" "2" "M" "A" "Escopeta" 0 0 6 "HUNT16" 31 7 2013
"531" "3" "M" "A" "Escopeta" 0 0 6 "HUNT16" 31 7 2013
"532" "4" "F" "Y" "Escopeta" 0 0 6 "HUNT16" 31 7 2013
"533" "2" "F" "Y" "Escopeta" 0 0 6 "HUNT16" 31 7 2013
"534" "3" "F" "Y" "Escopeta" 0 0 6 "HUNT16" 31 7 2013
"535" "4" "M" "Y" "Escopeta" 0 0 6 "HUNT16" 31 7 2013
"536" "2" "M" "Y" "Escopeta" 0 0 6 "HUNT16" 31 7 2013
"537" "3" "M" "Y" "Escopeta" 0 0 6 "HUNT16" 31 7 2013
"538" "4" "F" "A" "Trampa" 0 5 6 "HUNT16" 31 7 2013
"539" "2" "F" "A" "Trampa" 0 0 6 "HUNT16" 31 7 2013
"540" "3" "F" "A" "Trampa" 4 2 6 "HUNT16" 31 7 2013
"541" "4" "M" "A" "Trampa" 1 2 6 "HUNT16" 31 7 2013
"542" "2" "M" "A" "Trampa" 0 0 6 "HUNT16" 31 7 2013
"543" "3" "M" "A" "Trampa" 0 1 6 "HUNT16" 31 7 2013
"544" "4" "F" "Y" "Trampa" 0 0 6 "HUNT16" 31 7 2013
"545" "2" "F" "Y" "Trampa" 0 0 6 "HUNT16" 31 7 2013
"546" "3" "F" "Y" "Trampa" 0 0 6 "HUNT16" 31 7 2013
"547" "4" "M" "Y" "Trampa" 0 0 6 "HUNT16" 31 7 2013
"548" "2" "M" "Y" "Trampa" 1 0 6 "HUNT16" 31 7 2013
"549" "3" "M" "Y" "Trampa" 0 0 6 "HUNT16" 31 7 2013
"550" "3" "F" "A" "Trampa" 1 6 3 "HUNT16" 32 8 2013
"551" "3" "M" "A" "Trampa" 0 2 3 "HUNT16" 32 8 2013
"552" "3" "F" "Y" "Trampa" 0 0 3 "HUNT16" 32 8 2013
"553" "3" "M" "Y" "Trampa" 0 1 3 "HUNT16" 32 8 2013
"554" "3" "F" "A" "Escopeta" 0 4 3 "HUNT16" 32 8 2013
"555" "3" "M" "A" "Escopeta" 0 2 3 "HUNT16" 32 8 2013
"556" "3" "F" "Y" "Escopeta" 0 0 3 "HUNT16" 32 8 2013
"557" "3" "M" "Y" "Escopeta" 0 0 3 "HUNT16" 32 8 2013
"558" "5" "F" "A" "Escopeta" 1 7 2 "HUNT17" 8 5 2011
"559" "5" "M" "A" "Escopeta" 0 1 2 "HUNT17" 8 5 2011
"560" "5" "F" "A" "Trampa" 0 4 2 "HUNT17" 8 5 2011
"561" "5" "M" "A" "Trampa" 0 3 2 "HUNT17" 8 5 2011
"562" "3" "F" "A" "Trampa" 0 4 1 "HUNT18" 16 1 2012
"563" "3" "M" "A" "Trampa" 0 3 1 "HUNT18" 16 1 2012
"564" "2" "F" "A" "Trampa" 0 7 1 "HUNT18" 17 3 2012
"565" "2" "M" "A" "Trampa" 0 3 1 "HUNT18" 17 3 2012
"566" "1" "F" "A" "Trampa" 1 0 1 "HUNT19" 1 8 2010
"567" "7" "F" "A" "Trampa" 1 15 3 "HUNT20" 8 5 2011
"568" "7" "M" "A" "Trampa" 0 9 3 "HUNT20" 8 5 2011
"569" "7" "F" "A" "Trampa" 0 14 2 "HUNT20" 9 6 2011
"570" "7" "M" "A" "Trampa" 1 7 2 "HUNT20" 9 6 2011
"571" "7" "F" "A" "Trampa" 0 7 1 "HUNT20" 10 7 2011
"572" "7" "F" "Y" "Trampa" 0 2 1 "HUNT20" 10 7 2011
"573" "7" "F" "A" "Trampa" 0 21 4 "HUNT20" 11 8 2011
"574" "7" "M" "A" "Trampa" 0 15 4 "HUNT20" 11 8 2011
"575" "7" "F" "Y" "Trampa" 1 0 4 "HUNT20" 11 8 2011
"576" "7" "M" "Y" "Trampa" 0 1 4 "HUNT20" 11 8 2011
"577" "7" "F" "A" "Escopeta" 2 1 4 "HUNT20" 11 8 2011
"578" "7" "M" "A" "Escopeta" 0 1 4 "HUNT20" 11 8 2011
"579" "7" "F" "Y" "Escopeta" 0 0 4 "HUNT20" 11 8 2011
"580" "7" "M" "Y" "Escopeta" 0 0 4 "HUNT20" 11 8 2011
"581" "7" "F" "A" "Trampa" 2 13 2 "HUNT20" 12 9 2011
"582" "7" "M" "A" "Trampa" 0 9 2 "HUNT20" 12 9 2011
"583" "7" "F" "A" "Trampa" 0 9 2 "HUNT20" 13 10 2011
"584" "7" "M" "A" "Trampa" 0 4 2 "HUNT20" 13 10 2011
"585" "7" "F" "Y" "Trampa" 0 1 2 "HUNT20" 13 10 2011
"586" "7" "M" "Y" "Trampa" 0 4 2 "HUNT20" 13 10 2011
"587" "7" "F" "A" "Trampa" 0 10 2 "HUNT20" 14 11 2011
"588" "7" "M" "A" "Trampa" 2 4 2 "HUNT20" 14 11 2011
"589" "7" "F" "Y" "Trampa" 0 0 2 "HUNT20" 14 11 2011
"590" "7" "M" "Y" "Trampa" 0 2 2 "HUNT20" 14 11 2011
"591" "7" "M" "A" "Escopeta" 0 2 1 "HUNT20" 18 4 2012
"592" "7" "F" "A" "Escopeta" 1 4 1 "HUNT20" 18 4 2012
"593" "7" "M" "Y" "Escopeta" 2 1 1 "HUNT20" 18 4 2012
"594" "7" "F" "Y" "Escopeta" 0 0 1 "HUNT20" 18 4 2012
"595" "7" "F" "A" "Escopeta" 0 3 1 "HUNT20" 19 5 2012
"596" "7" "M" "A" "Escopeta" 1 1 1 "HUNT20" 19 5 2012
"597" "7" "F" "Y" "Escopeta" 0 0 1 "HUNT20" 19 5 2012
"598" "7" "M" "Y" "Escopeta" 1 0 1 "HUNT20" 19 5 2012
"599" "7" "F" "A" "Trampa" 2 2 1 "HUNT20" 19 5 2012
"600" "7" "M" "A" "Trampa" 0 1 1 "HUNT20" 19 5 2012
"601" "7" "F" "Y" "Trampa" 0 2 1 "HUNT20" 19 5 2012
"602" "7" "M" "Y" "Trampa" 0 0 1 "HUNT20" 19 5 2012
"603" "7" "F" "A" "Trampa" 0 6 1 "HUNT20" 20 6 2012
"604" "7" "M" "A" "Trampa" 0 2 1 "HUNT20" 20 6 2012
"605" "7" "F" "Y" "Trampa" 1 0 1 "HUNT20" 20 6 2012
"606" "7" "M" "Y" "Trampa" 0 0 1 "HUNT20" 20 6 2012
"607" "7" "F" "A" "Trampa" 0 6 1 "HUNT20" 22 8 2012
"608" "7" "M" "A" "Trampa" 0 3 1 "HUNT20" 22 8 2012
"609" "7" "F" "Y" "Trampa" 0 4 1 "HUNT20" 22 8 2012
"610" "7" "M" "Y" "Trampa" 0 0 1 "HUNT20" 22 8 2012
"611" "7" "F" "A" "Trampa" 0 7 2 "HUNT20" 23 10 2012
"612" "7" "M" "A" "Trampa" 0 1 2 "HUNT20" 23 10 2012
"613" "7" "F" "Y" "Trampa" 0 1 2 "HUNT20" 23 10 2012
"614" "7" "M" "Y" "Trampa" 0 1 2 "HUNT20" 23 10 2012
"615" "7" "F" "A" "Escopeta" 3 3 2 "HUNT20" 23 10 2012
"616" "7" "M" "A" "Escopeta" 0 3 2 "HUNT20" 23 10 2012
"617" "7" "F" "Y" "Escopeta" 0 1 2 "HUNT20" 23 10 2012
"618" "7" "M" "Y" "Escopeta" 0 1 2 "HUNT20" 23 10 2012
"619" "7" "F" "A" "Trampa" 0 7 1 "HUNT20" 25 12 2012
"620" "7" "M" "A" "Trampa" 0 2 1 "HUNT20" 25 12 2012
"621" "7" "F" "Y" "Trampa" 0 0 1 "HUNT20" 25 12 2012
"622" "7" "M" "Y" "Trampa" 0 2 1 "HUNT20" 25 12 2012
"623" "7" "M" "Y" "Trampa" 0 1 1 "HUNT20" 26 2 2013
"624" "7" "M" "Y" "Trampa" 0 2 2 "HUNT20" 32 8 2013
"625" "7" "F" "Y" "Trampa" 0 0 2 "HUNT20" 32 8 2013
"626" "7" "M" "A" "Trampa" 0 3 2 "HUNT20" 32 8 2013
"627" "7" "F" "A" "Trampa" 0 6 2 "HUNT20" 32 8 2013
"628" "6" "F" "A" "Trampa" 0 14 2 "HUNT21" 2 9 2010
"629" "6" "M" "A" "Trampa" 0 6 2 "HUNT21" 2 9 2010
"630" "6" "F" "Y" "Trampa" 2 0 2 "HUNT21" 2 9 2010
"631" "6" "M" "Y" "Trampa" 0 0 2 "HUNT21" 2 9 2010
"632" "6" "F" "A" "Trampa" 1 2 1 "HUNT21" 3 10 2010
"633" "6" "M" "A" "Trampa" 0 2 1 "HUNT21" 3 10 2010
"634" "6" "F" "Y" "Trampa" 0 0 1 "HUNT21" 3 10 2010
"635" "6" "M" "Y" "Trampa" 0 2 1 "HUNT21" 3 10 2010
"636" "6" "F" "A" "Escopeta" 3 0 1 "HUNT22" 1 8 2010
"637" "6" "F" "A" "Trampa" 0 1 1 "HUNT22" 1 8 2010
"638" "6" "F" "A" "Trampa" 2 5 3 "HUNT22" 2 9 2010
"639" "6" "M" "A" "Trampa" 0 2 3 "HUNT22" 2 9 2010
"640" "6" "F" "Y" "Trampa" 1 0 3 "HUNT22" 2 9 2010
"641" "6" "M" "Y" "Trampa" 0 0 3 "HUNT22" 2 9 2010
"642" "6" "F" "A" "Trampa" 0 9 3 "HUNT22" 3 10 2010
"643" "6" "F" "A" "Trampa" 0 5 1 "HUNT22" 4 11 2010
"644" "6" "M" "A" "Trampa" 0 2 1 "HUNT22" 4 11 2010
"645" "6" "F" "Y" "Trampa" 1 0 1 "HUNT22" 4 11 2010
"646" "6" "M" "Y" "Trampa" 1 0 1 "HUNT22" 4 11 2010
"647" "6" "F" "A" "Trampa" 0 5 1 "HUNT22" 8 5 2011
"648" "6" "M" "A" "Trampa" 0 4 1 "HUNT22" 8 5 2011
"649" "6" "F" "A" "Trampa" 0 9 1 "HUNT22" 9 6 2011
"650" "6" "F" "A" "Trampa" 0 4 1 "HUNT22" 10 7 2011
"651" "6" "M" "A" "Trampa" 0 2 1 "HUNT22" 10 7 2011
"652" "6" "F" "Y" "Trampa" 1 0 1 "HUNT22" 10 7 2011
"653" "6" "M" "Y" "Trampa" 0 0 1 "HUNT22" 10 7 2011
"654" "6" "M" "A" "Escopeta" 1 0 1 "HUNT22" 14 11 2011
"655" "6" "F" "A" "Escopeta" 1 1 1 "HUNT22" 14 11 2011
"656" "6" "M" "A" "Trampa" 0 2 1 "HUNT22" 14 11 2011
"657" "6" "F" "A" "Trampa" 0 3 1 "HUNT22" 14 11 2011
"658" "1" "F" "A" "Trampa" 1 5 3 "HUNT23" 1 8 2010
"659" "1" "M" "A" "Trampa" 1 4 3 "HUNT23" 1 8 2010
"660" "1" "F" "A" "Trampa" 1 5 2 "HUNT23" 2 9 2010
"661" "1" "M" "A" "Trampa" 0 2 2 "HUNT23" 2 9 2010
"662" "1" "M" "A" "Trampa" 0 2 2 "HUNT23" 3 10 2010
"663" "1" "F" "A" "Trampa" 0 6 2 "HUNT23" 3 10 2010
"664" "1" "M" "Y" "Trampa" 0 0 2 "HUNT23" 3 10 2010
"665" "1" "F" "Y" "Trampa" 0 1 2 "HUNT23" 3 10 2010
"666" "1" "F" "A" "Trampa" 0 8 2 "HUNT23" 4 11 2010
"667" "1" "M" "A" "Trampa" 0 2 2 "HUNT23" 4 11 2010
"668" "1" "F" "Y" "Trampa" 0 2 2 "HUNT23" 4 11 2010
"669" "1" "M" "Y" "Trampa" 0 1 2 "HUNT23" 4 11 2010
"670" "1" "F" "A" "Trampa" 0 5 1 "HUNT23" 5 12 2010
"671" "1" "M" "A" "Trampa" 0 2 1 "HUNT23" 5 12 2010
"672" "1" "F" "Y" "Trampa" 0 1 1 "HUNT23" 5 12 2010
"673" "1" "M" "Y" "Trampa" 0 0 1 "HUNT23" 5 12 2010
"674" "1" "F" "A" "Trampa" 0 2 1 "HUNT23" 12 9 2011
"675" "1" "F" "Y" "Trampa" 0 2 1 "HUNT23" 12 9 2011
"676" "1" "F" "A" "Trampa" 0 3 2 "HUNT23" 13 10 2011
"677" "1" "M" "A" "Trampa" 1 4 2 "HUNT23" 13 10 2011
"678" "1" "F" "A" "Trampa" 1 0 1 "HUNT24" 9 6 2011
"679" "6" "F" "A" "Trampa" 1 4 1 "HUNT24" 9 6 2011
"680" "1" "M" "A" "Trampa" 0 0 1 "HUNT24" 9 6 2011
"681" "6" "M" "A" "Trampa" 0 2 1 "HUNT24" 9 6 2011
"682" "1" "F" "A" "Trampa" 2 0 1 "HUNT24" 10 7 2011
